stadium_id,stadium,elevation_feet
PIT00,Heinz Field,725
CAR00,Bank of America Stadium,725
CLE00,Cleveland Browns Stadium,594
DET00,Ford Field,604
HOU00,Reliant Stadium,49
KAN00,Arrowhead Stadium,843
BOS00,Gillette Stadium,256
STL00,Edward Jones Dome,466
TAM00,Raymond James Stadium,36
NAS00,LP Field,397
PHO00,University of Phoenix Stadium,1024
GNB00,Lambeau Field,627
JAX00,Alltel Stadium,3
NYC00,Giants Stadium,7
WAS00,FedExField,197
OAK00,McAfee Coliseum,21
ATL00,Georgia Dome,1017
BAL00,M&T Bank Stadium,10
CHI98,Soldier Field,584
CIN00,Paul Brown Stadium,486
IND99,RCA Dome,215
MIA00,Dolphin Stadium,10
MIN00,Hubert H. Humphrey Metrodome,256
PHI00,Lincoln Financial Field,10
SEA00,Qwest Field,16
SFO00,Monster Park,23
DEN00,Invesco Field at Mile High,5280
SDG00,Qualcomm Stadium,52
DAL99,Texas Stadium,449
BUF00,Ralph Wilson Stadium,50
NOR00,Louisiana Superdome,3
JAX00,Jacksonville Municipal Stadium,3
LON00,Wembley Stadium,187
SFO00,Candlestick Park,23
IND00,Lucas Oil Stadium,708
OAK00,Oakland-Alameda County Coliseum,21
BUF01,Rogers Centre,269
DAL00,Cowboys Stadium,568
JAX00,EverBank Field,3
NYC01,New Meadowlands Stadium,7
MIN00,Mall of America Field,256
MIA00,Sun Life Stadium,10
MIN98,TCF Bank Stadium,833
NYC01,MetLife Stadium,7
DEN00,Sports Authority Field at Mile High,5280
NOR00,Mercedes-Benz Superdome,3
OAK00,O.co Coliseum,21
SEA00,CenturyLink Field,16
CLE00,FirstEnergy Stadium,594
DAL00,AT&T Stadium,568
HOU00,NRG Stadium,49
SFO01,Levi's Stadium,16
NAS00,Nissan Stadium,397
BUF00,New Era Field,50
LAX99,Los Angeles Memorial Coliseum,141
MIN01,U.S. Bank Stadium,843
MIA00,Hard Rock Stadium,10
LON01,Twickenham Stadium,92
MEX00,Azteca Stadium,7200
LAX97,StubHub Center,49
ATL97,Mercedes-Benz Stadium,1007
PHO00,State Farm Stadium,1024
JAX00,TIAA Bank Stadium,3
OAK00,Ring Central Coliseum,21
DEN00,Empower Field at Mile High,5280
LON02,Tottenham Stadium,43
LAX01,SoFi Stadium,125
VEG00,Allegiant Stadium,2352
SEA00,Lumen Field,16
