stadium_id,stadium
PIT00,Heinz Field
CAR00,Bank of America Stadium
CLE00,Cleveland Browns Stadium
DET00,Ford Field
HOU00,Reliant Stadium
KAN00,Arrowhead Stadium
BOS00,Gillette Stadium
STL00,Edward Jones Dome
TAM00,Raymond James Stadium
NAS00,LP Field
PHO00,University of Phoenix Stadium
GNB00,Lambeau Field
JAX00,Alltel Stadium
NYC00,Giants Stadium
WAS00,FedExField
OAK00,McAfee Coliseum
ATL00,Georgia Dome
BAL00,M&T Bank Stadium
CHI98,Soldier Field
CIN00,Paul Brown Stadium
IND99,RCA Dome
MIA00,Dolphin Stadium
MIN00,Hubert H. Humphrey Metrodome
PHI00,Lincoln Financial Field
SEA00,Qwest Field
SFO00,Monster Park
DEN00,Invesco Field at Mile High
SDG00,Qualcomm Stadium
DAL99,Texas Stadium
BUF00,Ralph Wilson Stadium
NOR00,Louisiana Superdome
JAX00,Jacksonville Municipal Stadium
LON00,Wembley Stadium
SFO00,Candlestick Park
IND00,Lucas Oil Stadium
OAK00,Oakland-Alameda County Coliseum
BUF01,Rogers Centre
DAL00,Cowboys Stadium
JAX00,EverBank Field
NYC01,New Meadowlands Stadium
MIN00,Mall of America Field
MIA00,Sun Life Stadium
MIN98,TCF Bank Stadium
NYC01,MetLife Stadium
DEN00,Sports Authority Field at Mile High
NOR00,Mercedes-Benz Superdome
OAK00,O.co Coliseum
SEA00,CenturyLink Field
CLE00,FirstEnergy Stadium
DAL00,AT&T Stadium
HOU00,NRG Stadium
SFO01,Levi's Stadium
NAS00,Nissan Stadium
BUF00,New Era Field
LAX99,Los Angeles Memorial Coliseum
MIN01,U.S. Bank Stadium
MIA00,Hard Rock Stadium
LON01,Twickenham Stadium
MEX00,Azteca Stadium
LAX97,StubHub Center
ATL97,Mercedes-Benz Stadium
PHO00,State Farm Stadium
JAX00,TIAA Bank Stadium
OAK00,Ring Central Coliseum
DEN00,Empower Field at Mile High
LON02,Tottenham Stadium
LAX01,SoFi Stadium
VEG00,Allegiant Stadium
SEA00,Lumen Field
